identifier	genome_accession	genome_name	taxid	genus_name	genus_threshold	species_name	species_threshold	subspecies_name	subspecies_threshold	serotype_name	serotype_threshold
REFSSPECIESID0000281	CP043953	Acinetobacter baumannii  	470	Acinetobacter	80	baumannii	95	-	-	-	-
REFSSPECIESID0000262	CP020000	Acinetobacter calcoaceticus  	471	Acinetobacter	80	calcoaceticus	95	-	-	-	-
REFSSPECIESID0000308	CP072549	Acinetobacter lwoffii  	28090	Acinetobacter	80	lwoffii	95	-	-	-	-
REFSSPECIESID0000272	CP030880	Acinetobacter haemolyticus  	29430	Acinetobacter	80	haemolyticus	95	-	-	-	-
REFSSPECIESID0000245	KB849702	Acinetobacter johnsonii  	40214	Acinetobacter	80	johnsonii	95	-	-	-	-
REFSSPECIESID0000306	CP059558	Acinetobacter junii  	40215	Acinetobacter	80	junii	95	-	-	-	-
REFSSPECIESID0000271	CP030031	Acinetobacter radioresistens  	40216	Acinetobacter	80	radioresistens	95	-	-	-	-
REFSSPECIESID0000244	KB849556	Acinetobacter venetianus  	52133	Acinetobacter	80	venetianus	95	-	-	-	-
REFSSPECIESID0000307	AP024524	Acinetobacter variabilis  	70346	Acinetobacter	80	variabilis	95	-	-	-	-
REFSSPECIESID0000285	CP041970	Acinetobacter dispersus  	70348	Acinetobacter	80	dispersus	95	-	-	-	-
REFSSPECIESID0000302	CP066119	Acinetobacter bereziniae  	106648	Acinetobacter	80	bereziniae	95	-	-	-	-
REFSSPECIESID0000268	AP014630	Acinetobacter guillouiae  	106649	Acinetobacter	80	guillouiae	95	-	-	-	-
REFSSPECIESID0000279	CP040105	Acinetobacter nosocomialis  	106654	Acinetobacter	80	nosocomialis	95	-	-	-	-
REFSSPECIESID0000247	KB850254	Acinetobacter ursingii  	108980	Acinetobacter	80	ursingii	97.7	-	-	-	-
REFSSPECIESID0000289	CP044483	Acinetobacter schindleri  	108981	Acinetobacter	80	schindleri	95	-	-	-	-
REFSSPECIESID0000242	KB849207	Acinetobacter parvus  	134533	Acinetobacter	80	parvus	95	-	-	-	-
REFSSPECIESID0000257	KV575261	Acinetobacter gyllenbergii  	134534	Acinetobacter	80	gyllenbergii	95	-	-	-	-
REFSSPECIESID0000305	AP024595	Acinetobacter bouvetii  	202951	Acinetobacter	80	bouvetii	95	-	-	-	-
REFSSPECIESID0000243	KB849514	Acinetobacter gerneri  	202952	Acinetobacter	80	gerneri	95	-	-	-	-
REFSSPECIESID0000283	VXLD01000001	Acinetobacter tandoii  	202954	Acinetobacter	80	tandoii	95	-	-	-	-
REFSSPECIESID0000252	BBND01000057	Acinetobacter tjernbergiae  	202955	Acinetobacter	80	tjernbergiae	95	-	-	-	-
REFSSPECIESID0000303	CP071766	Acinetobacter towneri  	202956	Acinetobacter	80	towneri	95	-	-	-	-
REFSSPECIESID0000246	KB849763	Acinetobacter beijerinckii  	262668	Acinetobacter	80	beijerinckii	95	-	-	-	-
